Folder names and what goes in them.
Regenerated by ear_build.py every run — edit WORDS in index.html, not this file.

folder      word    meaning
----------  ------  -------
kasia       Kasia   Katie
car         car     tsar
ci          ci      to you
czar        czar    charm, spell
czy         czy     whether
kasa        kasa    till, cash desk
kasza       kasza   groats, kasha
kos         kos     blackbird
kosz        kosz    basket
kos-acute   koś     mow! (imperative)
leci        leci    flies, is flying
leczy       leczy   heals, treats
moc         moc     power, might
mocz        mocz    urine
nic         nic     nothing
nic-acute   nić     thread
nos         nos     nose
nos-acute   noś     carry! (imperative)
owca        owca    sheep
owcza       owcza   ovine, sheep's
pas         pas     belt
pasz        pasz    of fodder
pas-acute   paś     graze! (imperative)
piec        piec    oven, stove
piecz       piecz   bake! (imperative)
prosie      prosię  piglet
prosze      proszę  please
place       płace   wages
placze      płacze  cries, weeps
sad         sad     orchard
siad        siad    sitting position
sok         sok     juice
sum         sum     catfish
syk         syk     hiss
szok        szok    shock
szum        szum    hum, rustle
szyk        szyk    word order
wiesz       wiesz   you know
wies-acute  wieś    village

39 words. Filenames inside each folder don't matter.
Optional speaker tag: name a file  anna__whatever.mp3
