rank,lemma,pos,freq,ipm,ARF,total_freq,source_tags,rows
1,być,verb,1658053.0,20303.12,899629.51,1658053.0,bedzie;fin;impt;inf;pcon;praet,6
2,mieć,verb,557503.0,6826.72,308241.65,557503.0,fin;imps;impt;inf;pcon;praet,6
3,móc,verb,299153.0,3663.18,164235.44,299153.0,fin;inf;pcon;praet,4
4,rok,noun,315221.0,3859.93,152110.99,315221.0,subst,1
5,czas,noun,171564.0,2100.83,97730.17,171564.0,subst,1
6,inny,adjective,150761.0,1846.09,87288.5,150761.0,adj,1
7,chcieć,verb,153137.0,1875.19,78719.82,153137.0,fin;imps;impt;inf;pcon;praet,6
8,człowiek,noun,153640.0,1881.35,75166.92,153640.0,subst,1
9,mówić,verb,149084.0,1825.57,74928.3,149084.0,fin;imps;impt;inf;pcon;praet,6
10,zostać,verb,137024.0,1677.88,73158.01,137024.0,fin;impt;inf;pant;praet,5
11,raz,noun,124639.0,1526.22,69639.71,124639.0,subst,1
12,pierwszy,adjective,117548.0,1439.39,67108.64,117548.0,adj,1
13,musieć,verb,122904.0,1504.98,66328.54,122904.0,fin;imps;inf;pcon;praet,5
14,cały,adjective,106781.0,1307.55,62745.93,106781.0,adj,1
15,wiedzieć,verb,132354.0,1620.69,61465.83,132354.0,fin;imps;impt;inf;pcon;praet,6
16,życie,noun,112528.0,1377.92,57075.02,112528.0,subst,1
17,miejsce,noun,101785.0,1246.37,54808.72,101785.0,subst,1
18,dzień,noun,110040.0,1347.46,54465.6,110040.0,subst,1
19,nowy,adjective,110416.0,1352.06,54337.29,110416.0,adj;adja;adjp,3
20,duży,adjective,96444.0,1180.97,52916.13,96444.0,adj,1
21,dobry,adjective,92719.0,1135.36,51335.88,92719.0,adj,1
22,drugi,adjective,87972.0,1077.23,51301.24,87972.0,adj,1
23,powiedzieć,verb,100145.0,1226.29,46665.51,100145.0,fin;imps;impt;inf;pant;praet,6
24,stać,verb,81980.0,1003.86,45220.77,81980.0,fin;impt;inf;pant;pcon;praet,6
25,strona,noun,82037.0,1004.56,44890.08,82037.0,subst,1
26,sprawa,noun,90022.0,1102.33,44832.7,90022.0,subst,1
27,koniec,noun,74948.0,917.75,43002.6,74948.0,subst,1
28,praca,noun,100104.0,1225.79,42696.5,100104.0,subst,1
29,osoba,noun,93036.0,1139.24,41768.66,93036.0,subst,1
30,świat,noun,81304.0,995.58,39360.64,81304.0,subst,1
31,polski,adjective,98164.0,1202.03,37787.35,98164.0,adj;adja;adjp,3
32,dom,noun,79984.0,979.42,35755.51,79984.0,subst,1
33,kolejny,adjective,64582.0,790.82,35732.02,64582.0,adj,1
34,Polska,noun,89502.0,1095.97,35553.98,89502.0,subst,1
35,zacząć,verb,68133.0,834.3,34879.62,68133.0,fin;imps;impt;inf;pant;praet,6
36,dziecko,noun,92769.0,1135.97,33618.51,92769.0,subst,1
37,wielki,adjective,62534.0,765.74,33444.75,62534.0,adj,1
38,chwila,noun,68157.0,834.59,33315.52,68157.0,subst,1
39,sposób,noun,60608.0,742.15,32863.01,60608.0,subst,1
40,zrobić,verb,62171.0,761.29,32422.16,62171.0,fin;imps;impt;inf;pant;praet,6
41,ostatni,adjective,57014.0,698.15,32344.05,57014.0,adj,1
42,znaleźć,verb,53924.0,660.3,30785.43,53924.0,fin;imps;impt;inf;pant;praet,6
43,powinien,verb,56812.0,695.67,30039.24,56812.0,fin;praet;winien,3
44,dać,verb,54277.0,664.63,29809.99,54277.0,fin;imps;impt;inf;pant;praet,6
45,widzieć,verb,59946.0,734.05,29627.7,59946.0,fin;imps;inf;pcon;praet,5
46,robić,verb,55917.0,684.72,29423.77,55917.0,fin;imps;impt;inf;pcon;praet,6
47,słowo,noun,58157.0,712.14,28903.96,58157.0,subst,1
48,mały,adjective,52213.0,639.36,28680.88,52213.0,adj;adjp,2
49,ważny,adjective,52766.0,646.13,28602.64,52766.0,adj,1
50,oko,noun,61242.0,749.92,28428.48,61242.0,subst,1
51,ręka,noun,57557.0,704.79,28299.86,57557.0,subst,1
52,głowa,noun,62389.0,763.96,28192.95,62389.0,subst,1
53,własny,adjective,51095.0,625.67,27982.37,51095.0,adj,1
54,droga,noun,54506.0,667.43,26886.34,54506.0,subst,1
55,miasto,noun,66415.0,813.26,26751.07,66415.0,subst,1
56,chodzić,verb,49528.0,606.48,26517.89,49528.0,fin;imps;impt;inf;pcon;praet,6
57,część,noun,50310.0,616.05,26252.79,50310.0,subst,1
58,rzecz,noun,47220.0,578.22,25762.49,47220.0,subst,1
59,pan,noun,82288.0,1007.63,25435.49,82288.0,depr;subst,2
60,kobieta,noun,69089.0,846.01,25389.05,69089.0,subst,1
61,stary,adjective,48516.0,594.09,25116.22,48516.0,adj;adja,2
62,sytuacja,noun,49202.0,602.49,25039.25,49202.0,subst,1
63,stan,noun,44934.0,550.22,23832.8,44934.0,subst,1
64,problem,noun,45480.0,556.91,23012.35,45480.0,subst,1
65,wysoki,adjective,43525.0,532.97,22992.28,43525.0,adj;adjp,2
66,prawo,noun,57323.0,701.93,22823.4,57323.0,subst,1
67,prosty,adjective,41807.0,511.94,22660.63,41807.0,adj;adjp,2
68,należeć,verb,42952.0,525.95,22619.39,42952.0,fin;inf;pcon;praet,4
69,myśleć,verb,45480.0,556.91,22302.57,45480.0,fin;imps;impt;inf;pcon;praet,6
70,młody,adjective,43595.0,533.83,21737.24,43595.0,adj,1
71,uwaga,noun,36749.0,450.0,20734.51,36749.0,subst,1
72,kraj,noun,49112.0,601.38,20585.04,49112.0,subst,1
73,wydawać,verb,38912.0,476.48,20542.44,38912.0,fin;imps;impt;inf;pcon;praet,6
74,przypadek,noun,41326.0,506.04,20283.1,41326.0,subst,1
75,iść,verb,40502.0,495.95,20030.13,40502.0,fin;impt;inf;pcon;praet,5
76,początek,noun,34993.0,428.5,19983.55,34993.0,subst,1
77,pewien,adjective,36895.0,451.79,19826.18,36895.0,adj,1
78,rodzina,noun,43872.0,537.22,19620.24,43872.0,subst,1
79,historia,noun,41583.0,509.19,19613.26,41583.0,subst,1
80,różny,adjective,36461.0,446.47,19276.93,36461.0,adj,1
81,środek,noun,35305.0,432.32,18604.24,35305.0,subst,1
82,czuć,verb,41261.0,505.25,18435.49,41261.0,fin;impt;inf;pcon;praet,5
